"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","System Admin should be able to create project with correct name","Surefire suite","Thu Nov 06 22:05:54 UTC 2025","passed","Thu Nov 06 22:05:54 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithValidNameTest"
"","286","User should not be able to create two build types with the same id","Surefire suite","Thu Nov 06 22:06:01 UTC 2025","passed","Thu Nov 06 22:06:02 UTC 2025","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest"
"","234","User should be able to create build type","Surefire suite","Thu Nov 06 22:06:01 UTC 2025","passed","Thu Nov 06 22:06:01 UTC 2025","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest"
"","1110","User should not be able to create project without mandatory header","Surefire suite","Thu Nov 06 22:05:58 UTC 2025","failed","Thu Nov 06 22:05:59 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesProjectWithoutHeaderTest"
"","384","System Admin should not be able to specify both source project and source locator","Surefire suite","Thu Nov 06 22:05:48 UTC 2025","passed","Thu Nov 06 22:05:48 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithDifferentSourceLocatorAndSourceTest"
"","95","System Admin should not be able to create project with unexistent project parent","Surefire suite","Thu Nov 06 22:05:52 UTC 2025","passed","Thu Nov 06 22:05:52 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithUnexistentParentTest"
"","98","System Admin should not be able to create project with invalid id","Surefire suite","Thu Nov 06 22:05:50 UTC 2025","passed","Thu Nov 06 22:05:50 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithInvalidIdTest"
"","82","System Admin should not be able to create project without body","Surefire suite","Thu Nov 06 22:05:56 UTC 2025","passed","Thu Nov 06 22:05:56 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithoutBodyTest"
"","99","System Admin should not be able to create project with wrong value in auth header","Surefire suite","Thu Nov 06 22:05:56 UTC 2025","passed","Thu Nov 06 22:05:56 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithWrongInfoInAuthHeaderTest"
"","214","System Admin should be able to create project with correct name","Surefire suite","Thu Nov 06 22:05:55 UTC 2025","passed","Thu Nov 06 22:05:55 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithValidNameTest"
"","55200","setupTeamCityServerTest","Surefire suite","Thu Nov 06 22:04:32 UTC 2025","passed","Thu Nov 06 22:05:27 UTC 2025","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","232","System Admin should be able to create project with correct name","Surefire suite","Thu Nov 06 22:05:55 UTC 2025","passed","Thu Nov 06 22:05:55 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithValidNameTest"
"","83","User should not be able to create project with root as parent","Surefire suite","Thu Nov 06 22:05:58 UTC 2025","passed","Thu Nov 06 22:05:58 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesProjectInRoot"
"","231","System Admin should be able to create project with correct name","Surefire suite","Thu Nov 06 22:05:53 UTC 2025","passed","Thu Nov 06 22:05:53 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithValidNameTest"
"","233","System Admin should be able to create project with correct name","Surefire suite","Thu Nov 06 22:05:52 UTC 2025","passed","Thu Nov 06 22:05:52 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithValidNameTest"
"","109","User should not be able to create subproject","Surefire suite","Thu Nov 06 22:05:59 UTC 2025","passed","Thu Nov 06 22:05:59 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesSubproject"
